ProductKey;ProductAlternateKey;ProductName;Category;SubCategory;Product Color;Product Size;Weight;ModelName;Description;Status
1;AR-5381;Adjustable Race;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
2;BA-8327;Bearing Ball;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
3;BE-2349;BB Ball Bearing;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
4;BE-2908;Headset Ball Bearings;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
5;BL-2036;Blade;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
6;CA-5965;LL Crankarm;Uncategorized;Uncategorized;Black;Unsized;NULL;NULL;Undescribed;Current
7;CA-6738;ML Crankarm;Uncategorized;Uncategorized;Black;Unsized;NULL;NULL;Undescribed;Current
8;CA-7457;HL Crankarm;Uncategorized;Uncategorized;Black;Unsized;NULL;NULL;Undescribed;Current
9;CB-2903;Chainring Bolts;Uncategorized;Uncategorized;Silver;Unsized;NULL;NULL;Undescribed;Current
10;CN-6137;Chainring Nut;Uncategorized;Uncategorized;Silver;Unsized;NULL;NULL;Undescribed;Current
11;CR-7833;Chainring;Uncategorized;Uncategorized;Black;Unsized;NULL;NULL;Undescribed;Current
12;CR-9981;Crown Race;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
13;CS-2812;Chain Stays;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
14;DC-8732;Decal 1;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
15;DC-9824;Decal 2;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
16;DT-2377;Down Tube;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
17;EC-M092;Mountain End Caps;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
18;EC-R098;Road End Caps;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
19;EC-T209;Touring End Caps;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
20;FE-3760;Fork End;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
21;FH-2981;Freewheel;Uncategorized;Uncategorized;Silver;Unsized;NULL;NULL;Undescribed;Current
22;FW-1000;Flat Washer 1;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
23;FW-1200;Flat Washer 6;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
24;FW-1400;Flat Washer 2;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
25;FW-3400;Flat Washer 9;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
26;FW-3800;Flat Washer 4;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
27;FW-5160;Flat Washer 3;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
28;FW-5800;Flat Washer 8;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
29;FW-7160;Flat Washer 5;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
30;FW-9160;Flat Washer 7;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
31;FC-3654;Fork Crown;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
32;FC-3982;Front Derailleur Cage;Uncategorized;Uncategorized;Silver;Unsized;NULL;NULL;Undescribed;Current
33;FL-2301;Front Derailleur Linkage;Uncategorized;Uncategorized;Silver;Unsized;NULL;NULL;Undescribed;Current
34;GP-0982;Guide Pulley;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
35;GT-0820;LL Grip Tape;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
36;GT-1209;ML Grip Tape;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
37;GT-2908;HL Grip Tape;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
38;HJ-1213;Thin-Jam Hex Nut 9;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
39;HJ-1220;Thin-Jam Hex Nut 10;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
40;HJ-1420;Thin-Jam Hex Nut 1;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
41;HJ-1428;Thin-Jam Hex Nut 2;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
42;HJ-3410;Thin-Jam Hex Nut 15;Uncategorized;Uncategorized;NA;Unsized;NULL;NULL;Undescribed;Current
